Step 1: Latitude: 38.5592300, Longitude: 68.7870300, Distance to trail: 75.65 м, time: 1733997614 сек, Time difference: 1 сек
Step 2: Latitude: 38.5592200, Longitude: 68.7878999, Distance to trail: 44.51 м, time: 1733997615 сек, Time difference: 1 сек
Step 3: Latitude: 38.5588200, Longitude: 68.7878800, Distance to trail: 92.17 м, time: 1733997616 сек, Time difference: 1 сек
Step 4: Latitude: 38.5588300, Longitude: 68.7868200, Distance to trail: 25.71 м, time: 1733997617 сек, Time difference: 1 сек
Step 5: Latitude: 38.5586000, Longitude: 68.7867900, Distance to trail: 17.98 м, time: 1733997618 сек, Time difference: 1 сек
Step 6: Latitude: 38.5584400, Longitude: 68.7868200, Distance to trail: 17.05 м, time: 1733997619 сек, Time difference: 1 сек
Step 7: Latitude: 38.5583000, Longitude: 68.7869000, Distance to trail: 7.96 м, time: 1733997620 сек, Time difference: 1 сек
Step 8: Latitude: 38.5582400, Longitude: 68.7869500, Distance to trail: 7.16 м, time: 1733997621 сек, Time difference: 1 сек
Step 9: Latitude: 38.5581800, Longitude: 68.7869800, Distance to trail: 14.46 м, time: 1733997622 сек, Time difference: 1 сек
Step 10: Latitude: 38.5580900, Longitude: 68.7871000, Distance to trail: 11.66 м, time: 1733997623 сек, Time difference: 1 сек
Step 11: Latitude: 38.5580300, Longitude: 68.7872100, Distance to trail: 10.55 м, time: 1733997624 сек, Time difference: 1 сек
Step 12: Latitude: 38.5579899, Longitude: 68.7873199, Distance to trail: 30.58 м, time: 1733997625 сек, Time difference: 1 сек
Step 13: Latitude: 38.5579200, Longitude: 68.7876600, Distance to trail: 7.90 м, time: 1733997626 сек, Time difference: 1 сек
Step 14: Latitude: 38.5579100, Longitude: 68.7877500, Distance to trail: 58.52 м, time: 1733997627 сек, Time difference: 1 сек
Step 15: Latitude: 38.5579600, Longitude: 68.7884200, Distance to trail: 66.96 м, time: 1733997628 сек, Time difference: 1 сек
Step 16: Latitude: 38.5579700, Longitude: 68.7891900, Distance to trail: 12.37 м, time: 1733997629 сек, Time difference: 1 сек
Step 17: Latitude: 38.5579899, Longitude: 68.7893300, Distance to trail: 8.26 м, time: 1733997630 сек, Time difference: 1 сек
Step 18: Latitude: 38.5580300, Longitude: 68.7894100, Distance to trail: 150.24 м, time: 1733997631 сек, Time difference: 1 сек
Step 19: Latitude: 38.5593800, Longitude: 68.7893400, Distance to trail: 160.89 м, time: 1733997632 сек, Time difference: 1 сек
Step 20: Latitude: 38.5594100, Longitude: 68.7911900, Distance to trail: 78.97 м, time: 1733997633 сек, Time difference: 1 сек
Step 21: Latitude: 38.5587000, Longitude: 68.7912100, Distance to trail: 143.68 м, time: 1733997634 сек, Time difference: 1 сек
Step 22: Latitude: 38.5587700, Longitude: 68.7928600, Distance to trail: 10.95 м, time: 1733997635 сек, Time difference: 1 сек
Step 23: Latitude: 38.5587400, Longitude: 68.7929800, Distance to trail: 11.24 м, time: 1733997636 сек, Time difference: 1 сек
Step 24: Latitude: 38.5588399, Longitude: 68.7930000, Distance to trail: 61.65 м, time: 1733997637 сек, Time difference: 1 сек
Step 25: Latitude: 38.5593800, Longitude: 68.7931600, Distance to trail: 50.07 м, time: 1733997638 сек, Time difference: 1 сек
Step 26: Latitude: 38.5598300, Longitude: 68.7931800, Distance to trail: 28.96 м, time: 1733997639 сек, Time difference: 1 сек
Step 27: Latitude: 38.5600900, Longitude: 68.7931600, Distance to trail: 16.67 м, time: 1733997640 сек, Time difference: 1 сек
Step 28: Latitude: 38.5600700, Longitude: 68.7933500, Distance to trail: 7.62 м, time: 1733997641 сек, Time difference: 1 сек
Step 29: Latitude: 38.5600200, Longitude: 68.7934100, Distance to trail: 9.27 м, time: 1733997642 сек, Time difference: 1 сек
Step 30: Latitude: 38.5599400, Longitude: 68.7934400, Distance to trail: 25.57 м, time: 1733997643 сек, Time difference: 1 сек
Step 31: Latitude: 38.5597100, Longitude: 68.7934400, Distance to trail: 25.71 м, time: 1733997644 сек, Time difference: 1 сек
Step 32: Latitude: 38.5594800, Longitude: 68.7934700, Distance to trail: 791.64 м, time: 1733997645 сек, Time difference: 1 сек
Step 33: Latitude: 38.5629500, Longitude: 68.7855200, Distance to trail: 25.51 м, time: 1733997646 сек, Time difference: 1 сек
Step 34: Latitude: 38.5628300, Longitude: 68.7852700, Distance to trail: 79.13 м, time: 1733997647 сек, Time difference: 1 сек
Step 35: Latitude: 38.5623400, Longitude: 68.7846100, Distance to trail: 70.46 м, time: 1733997648 сек, Time difference: 1 сек
Step 36: Latitude: 38.5621200, Longitude: 68.7838500, Distance to trail: 139.03 м, time: 1733997649 сек, Time difference: 1 сек
Step 37: Latitude: 38.5616100, Longitude: 68.7823900, Distance to trail: 44.04 м, time: 1733997650 сек, Time difference: 1 сек
Step 38: Latitude: 38.5615100, Longitude: 68.7818999, Distance to trail: 8.51 м, time: 1733997651 сек, Time difference: 1 сек
Step 39: Latitude: 38.5614800, Longitude: 68.7818099, Distance to trail: 33.20 м, time: 1733997652 сек, Time difference: 1 сек
Step 40: Latitude: 38.5614500, Longitude: 68.7814300, Distance to trail: 184.41 м, time: 1733997653 сек, Time difference: 1 сек
Step 41: Latitude: 38.5615000, Longitude: 68.7793100, Distance to trail: 123.47 м, time: 1733997654 сек, Time difference: 1 сек
Step 42: Latitude: 38.5614900, Longitude: 68.7778900, Distance to trail: 103.95 м, time: 1733997655 сек, Time difference: 1 сек
Step 43: Latitude: 38.5614000, Longitude: 68.7767000, Distance to trail: 99.66 м, time: 1733997656 сек, Time difference: 1 сек
Step 44: Latitude: 38.5612500, Longitude: 68.7755700, Distance to trail: 246.87 м, time: 1733997657 сек, Time difference: 1 сек
Step 45: Latitude: 38.5606400, Longitude: 68.7728400, Distance to trail: 4.88 м, time: 1733997658 сек, Time difference: 1 сек
Step 46: Latitude: 38.5606600, Longitude: 68.7727900, Distance to trail: 29.75 м, time: 1733997659 сек, Time difference: 1 сек
Step 47: Latitude: 38.5606900, Longitude: 68.7724500, Distance to trail: 11.79 м, time: 1733997660 сек, Time difference: 1 сек
